time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-11T10:18:15.699Z,61.28,-149.6355,30.8,1.3,ml,,,,0.49,ak,ak020aamfyl1,2020-08-11T10:26:13.058Z,"2 km N of Elmendorf Air Force Base, Alaska",earthquake,,0.1,,,automatic,ak,ak
2020-08-11T10:12:52.490Z,33.5838333,-116.802,7.1,0.69,ml,37,41,0.03313,0.21,ci,ci39340535,2020-08-11T10:16:36.077Z,"12km WNW of Anza, CA",earthquake,0.28,0.68,0.134,20,automatic,ci,ci
2020-08-11T10:02:20.820Z,35.7445,-117.5283333,0.89,0.64,ml,9,163,0.1881,0.19,ci,ci39340527,2020-08-11T10:05:51.249Z,"12km WSW of Searles Valley, CA",earthquake,0.47,0.95,0.231,7,automatic,ci,ci
2020-08-11T09:59:25.820Z,33.2461667,-115.667,3.27,1.42,ml,27,83,0.07307,0.19,ci,ci39340519,2020-08-11T10:02:59.960Z,"13km SSE of Bombay Beach, CA",earthquake,0.34,0.68,0.214,28,automatic,ci,ci
2020-08-11T09:55:14.270Z,65.2602,-162.9842,3.2,2.2,ml,,,,0.77,ak,ak020aam2gjo,2020-08-11T10:24:31.874Z,"67 km NNE of White Mountain, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-11T09:41:44.280Z,38.0968,-118.0215,6.8,0.5,ml,10,143.59,0.033,0.07,nn,nn00767025,2020-08-11T09:53:57.990Z,"33 km SSE of Mina, Nevada",earthquake,,5.4,,,automatic,nn,nn
2020-08-11T09:20:31.510Z,19.2211666107178,-155.469329833984,31.6000003814697,1.79999995,md,34,98,,0.150000006,hv,hv72084636,2020-08-11T09:23:51.660Z,"2 km NNE of Pāhala, Hawaii",earthquake,0.6,0.99000001,0.0500000007,5,automatic,hv,hv
2020-08-11T09:19:22.894Z,64.3995,-147.385,0,0.8,ml,,,,0.27,ak,ak020aalurfl,2020-08-11T09:50:34.663Z,"27 km WSW of Salcha, Alaska",earthquake,,13.9,,,automatic,ak,ak
2020-08-11T09:12:18.210Z,38.1503,-117.9745,12.1,1.3,ml,20,70.97,0.012,0.08,nn,nn00767022,2020-08-11T09:43:19.548Z,"29 km SSE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-08-11T09:04:28.385Z,60.3197,-148.522,5.5,1.7,ml,,,,0.85,ak,ak020aalrk3v,2020-08-11T09:25:19.676Z,"39 km NW of Chenega, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-11T09:02:14.650Z,32.7665,-115.6188333,7.6,1.39,ml,16,86,0.09531,0.27,ci,ci39340511,2020-08-11T09:05:43.841Z,"6km WSW of El Centro, CA",earthquake,0.58,1.31,0.212,19,automatic,ci,ci
2020-08-11T08:53:53.460Z,38.1303,-118.2308,22.7,0.9,ml,13,77.23,0.143,0.05,nn,nn00767020,2020-08-11T09:12:58.457Z,"30 km SSW of Mina, Nevada",earthquake,,2.8,,,automatic,nn,nn
2020-08-11T08:47:45.287Z,65.2505,-163.0024,0,1.9,ml,,,,0.92,ak,ak020aalfdlq,2020-08-11T08:55:13.185Z,"66 km NNE of White Mountain, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-08-11T08:47:20.680Z,38.2973,-118.3108,11.6,1.9,ml,19,73.44,0.15,0.23,nn,nn00767017,2020-08-11T08:50:42.740Z,"20 km WSW of Mina, Nevada",earthquake,,3.2,,,automatic,nn,nn
2020-08-11T08:41:55.010Z,35.8708333,-117.6771667,6.29,0.44,ml,8,100,0.07992,0.23,ci,ci39340495,2020-08-11T08:45:29.701Z,"22km ESE of Little Lake, CA",earthquake,0.84,2.06,0.173,4,automatic,ci,ci
2020-08-11T08:38:49.520Z,19.156665802002,-155.491500854492,34.6100006103516,2.00999999,md,45,132,,0.129999995,hv,hv72084591,2020-08-11T09:10:56.704Z,"5 km SSW of Pāhala, Hawaii",earthquake,0.71,1.07000005,1.65999997,10,automatic,hv,hv
2020-08-11T08:29:38.165Z,65.2602,-162.9955,0,2,ml,,,,1.03,ak,ak020aalbi60,2020-08-11T08:43:00.722Z,"67 km NNE of White Mountain, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-11T08:27:31.080Z,38.172,-117.9735,1.9,0.7,ml,11,97.72,0.03,0.09,nn,nn00767014,2020-08-11T08:48:18.370Z,"26 km SSE of Mina, Nevada",earthquake,,11.2,,,automatic,nn,nn
2020-08-11T08:23:57.700Z,35.3326667,-118.09,0.24,1.08,ml,14,105,0.1895,0.19,ci,ci39340487,2020-08-11T08:27:46.558Z,"25km NNW of California City, CA",earthquake,0.44,31.61,0.148,14,automatic,ci,ci
2020-08-11T08:20:29.052Z,56.5788,-153.8483,24.4,3.1,ml,,,,1.17,ak,ak020aal9k1r,2020-08-11T08:27:47.595Z,"45 km SSE of Akhiok, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-08-11T08:06:40.670Z,38.8089981,-122.7733307,1.33,0.89,md,16,78,0.007149,0.03,nc,nc73442920,2020-08-11T08:40:04.358Z,"4km NNW of The Geysers, CA",earthquake,0.23,0.41,0.02,3,automatic,nc,nc
